index,Spielzeit,Datum,Stück,Autor,Regie,Musik,Bühnenbild,Kostüme,Choreographie,Ortsvermerk,Aufführungsvermerk,SpeziellerAnlass,id,Tag,Nr_Spielzeit,DuplicateDate,Nr_Stück,Neujahr
380,1952_1953,04/18/1953,Sechste Etage,"Gehri, Alfred","Kraut, Werner",0,"Meyer, Hannes",0,0,Grosse Bühne,0,0,1952_195304/18/1953Sechste Etage,1953-04-18,15,False,21,False
381,1952_1953,04/30/1953,Duett zu Dritt,"Lenz, Leo","Biberti, Leopold",0,"Goll, Eugen",0,0,Theater am Central,0,0,1952_195304/30/1953Duett zu Dritt,1953-04-30,15,False,22,False
382,1952_1953,05/03/1953,Liebe bei Kerzenlicht,"Geyer, Siegfried","Siedel, Erhard",0,"Eggmann, Hermann",0,0,Theater am Central,0,0,1952_195305/03/1953Liebe bei Kerzenlicht,1953-05-03,15,False,23,False
383,1952_1953,05/05/1953,Don Juan oder Die Liebe zur Geometrie,"Frisch, Max","Wälterlin, Oskar","Langnese, Rolf","Otto, Teo",0,0,Grosse Bühne,Uraufführung,0,1952_195305/05/1953Don Juan oder Die Liebe zur Geometrie,1953-05-05,15,False,24,False
384,1952_1953,05/20/1953,Das Leben ein Traum,"Calderon de la Barca, Pedro","Koch, Heinrich",Kompositionen alter Meister,"Maximowna, Ita",0,0,Grosse Bühne,0,0,1952_195305/20/1953Das Leben ein Traum,1953-05-20,15,False,25,False
385,1952_1953,05/23/1953,Fern in der Wüste,"Megged, A.","Kraft, Alexander",0,"Meyer, Hannes",0,0,Theater am Neumarkt,Deutschsprachige Erstaufführung,0,1952_195305/23/1953Fern in der Wüste,1953-05-23,15,False,26,False
386,1952_1953,06/04/1953,Mass für Mass,"Shakespeare, William","Wälterlin, Oskar","Langnese, Rolf","Otto, Teo",0,0,Grosse Bühne,0,Im Rahmen der Juni-Festwochen Zürich,1952_195306/04/1953Mass für Mass,1953-06-04,15,False,27,False
387,1953_1954,05/15/1953,Hilda Crane,"Raphaelson, Samson","Ammann, Lukas",0,0,0,0,Theater am Central,0,0,1953_195405/15/1953Hilda Crane,1953-05-15,16,False,0,False
388,1953_1954,08/26/1953,Die ist nicht von gestern,"Kanin, Garson","Berg, Erich Ernst",0,0,0,0,Theater am Central,0,0,1953_195408/26/1953Die ist nicht von gestern,1953-08-26,16,False,1,False
389,1953_1954,09/03/1953,Minna von Barnhelm oder Das Soldatenglück,"Lessing, Gotthold Ephraim","Lindtberg, Leopold",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1953_195409/03/1953Minna von Barnhelm oder Das Soldatenglück,1953-09-03,16,False,2,False
390,1953_1954,09/05/1953,Tugend in Gefahr,"Vanbrugh, Sir John","Wälterlin, Oskar",0,"Otto, Teo",0,0,Grosse Bühne,Deutschsprachige Erstaufführung,0,1953_195409/05/1953Tugend in Gefahr,1953-09-05,16,False,3,False
